district,election_year,total_pop,male_pop_percent,female_pop_percent,under_5_percent,5_to_9_percent,10_to_14_percent,15_to_19_percent,20_to_24_percent,25_to_34_percent,35_to_44_percent,45_to_54_percent,55_to_59_percent,60_to_64_percent,65_to_74_percent,75_to_84_percent,over_85_percent,median_age,18_and_over_percent,21_and_over_percent,62_and_over_percent,65_and_over_percent,18_and_over_male_percent,18_and_over_female_percent,65_and_over_male_percent,65_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units
AL01,2018,713410,48.2,51.8,6.0,6.0,6.7,6.3,5.9,12.9,11.9,12.9,6.9,7.1,10.7,5.0,1.7,40.0,77.2,73.5,21.7,17.4,47.3,52.7,44.5,55.5,65.0,27.8,0.9,1.5,0.0,0.3,3.1,339357
AL02,2018,673776,48.8,51.2,6.0,6.1,6.6,6.9,6.6,13.0,12.7,12.8,7.3,5.8,9.4,5.0,1.7,38.5,77.4,72.7,19.6,16.1,47.7,52.3,43.8,56.2,62.0,30.6,0.3,1.0,0.0,0.2,3.6,313057
AL03,2018,710488,48.8,51.2,5.7,6.2,6.4,6.8,7.6,13.0,12.0,12.9,6.6,6.4,10.1,4.7,1.7,38.1,78.0,72.9,20.1,16.5,47.8,52.2,44.1,55.9,67.2,26.3,0.2,1.6,0.0,0.1,2.9,333318
AL04,2018,685553,48.6,51.4,6.1,6.5,6.4,6.8,5.8,11.7,12.1,12.9,6.8,6.7,10.8,5.5,1.7,40.7,77.0,73.0,22.1,18.1,48.3,51.7,43.4,56.6,83.0,7.1,0.7,0.6,0.0,0.1,6.7,316637
AL05,2018,718713,49.2,50.8,5.7,5.8,6.3,6.6,6.7,13.2,12.3,13.6,7.1,6.5,9.6,5.0,1.6,39.5,78.2,74.6,19.9,16.2,48.4,51.6,43.9,56.1,72.2,17.8,0.7,1.8,0.1,0.2,5.2,320117
AL06,2018,700401,47.7,52.3,6.0,6.2,7.2,6.7,6.0,12.3,13.3,13.4,6.5,6.6,9.2,4.6,1.9,39.1,76.5,72.6,19.8,15.8,47.2,52.8,42.8,57.2,75.9,15.7,0.2,1.9,0.0,0.1,4.5,299457
AL07,2018,672406,47.7,52.3,5.9,6.0,5.6,8.2,8.3,14.2,11.4,12.0,6.1,7.0,9.3,4.4,1.6,36.3,78.4,72.4,19.4,15.2,46.4,53.6,41.3,58.7,31.7,63.0,0.1,0.9,0.1,0.2,3.0,336726
AK01,2018,739795,52.1,47.9,7.2,7.4,6.6,6.5,7.3,16.0,13.1,12.0,6.6,6.1,7.7,2.7,0.8,34.5,75.0,71.1,14.6,11.2,52.6,47.4,50.0,50.0,60.6,2.9,14.2,6.6,1.2,0.2,7.0,316968
AZ01,2018,765810,50.5,49.5,5.8,6.3,7.5,8.1,7.0,12.2,11.6,10.7,6.5,6.3,10.7,5.7,1.6,37.6,76.2,70.7,22.0,18.0,50.2,49.8,47.8,52.2,47.9,2.3,21.8,1.6,0.5,0.0,23.6,338585
AZ02,2018,720429,49.5,50.5,5.8,6.0,5.1,5.4,7.5,12.8,10.8,11.6,6.2,7.0,12.2,6.8,2.8,41.4,79.7,76.1,26.0,21.8,49.1,50.9,46.0,54.0,60.5,3.7,1.1,3.2,0.2,0.1,28.9,350528
AZ03,2018,773297,50.0,50.0,7.0,7.1,7.8,8.7,9.0,14.1,13.2,11.1,5.4,5.1,7.1,3.2,1.2,31.8,73.4,67.1,14.3,11.5,49.7,50.3,44.8,55.2,25.7,3.9,3.7,1.7,0.3,0.3,63.0,273572
AZ04,2018,771214,50.4,49.6,4.9,5.4,5.7,5.5,4.6,10.5,9.9,11.5,6.7,7.7,16.2,9.0,2.4,48.1,80.9,77.7,32.5,27.6,50.4,49.6,48.7,51.3,74.0,1.5,1.4,1.4,0.0,0.0,19.2,400938
AZ05,2018,822497,48.8,51.2,6.3,7.2,8.0,7.2,4.6,12.1,13.8,13.3,6.0,4.9,9.4,5.3,1.9,38.0,73.7,70.3,19.7,16.6,47.4,52.6,44.2,55.8,70.6,3.0,0.9,4.3,0.1,0.1,18.3,335679
AZ06,2018,783087,49.0,51.0,5.7,5.2,6.0,5.3,5.2,13.9,12.1,13.4,7.7,7.1,10.6,5.7,2.1,42.3,79.5,76.9,22.6,18.4,48.4,51.6,45.7,54.3,71.7,2.3,1.7,5.2,0.1,0.1,16.6,363447
AZ07,2018,833654,50.1,49.9,8.5,7.8,8.5,8.4,8.3,16.5,13.2,11.9,4.9,4.4,4.8,2.1,0.8,29.7,70.5,65.2,10.3,7.7,50.3,49.7,46.6,53.4,18.4,10.0,2.1,2.5,0.2,0.2,64.3,268990
AZ08,2018,777208,48.0,52.0,5.3,5.6,6.6,5.4,5.7,11.9,12.1,13.4,6.3,5.8,12.2,6.9,2.8,43.1,79.1,75.8,25.3,22.0,47.4,52.6,44.4,55.6,69.3,3.9,0.7,4.1,0.2,0.2,19.4,326812
AZ09,2018,769074,51.2,48.8,6.3,5.6,6.0,6.9,9.2,18.2,13.3,12.0,6.0,5.0,7.3,3.0,1.3,33.5,78.5,73.3,14.4,11.5,51.1,48.9,45.0,55.0,56.0,6.2,2.2,4.9,0.3,0.6,27.4,340634
AR01,2018,722287,49.8,50.2,6.1,6.0,6.8,6.9,5.9,12.0,12.3,12.7,6.5,6.6,10.5,5.9,1.7,39.7,76.8,73.0,22.0,18.1,49.5,50.5,45.2,54.8,75.5,17.0,0.3,0.7,0.0,0.1,3.2,343260
AR02,2018,765193,48.6,51.4,6.3,7.0,6.1,6.5,6.9,13.8,12.6,12.6,6.6,6.0,9.3,4.2,1.9,37.4,76.7,72.5,18.8,15.4,47.7,52.3,44.3,55.7,67.6,22.8,0.2,1.6,0.0,0.4,5.3,342372
AR03,2018,807421,49.7,50.3,6.6,7.0,7.1,7.4,7.3,13.8,13.1,12.1,5.8,5.7,8.4,4.1,1.6,35.5,75.1,70.3,17.5,14.1,49.1,50.9,44.4,55.6,74.7,2.8,1.0,3.0,0.8,0.3,14.6,336959
AR04,2018,709378,48.9,51.1,5.7,6.5,6.5,7.0,6.4,11.1,11.3,12.7,7.0,6.7,10.9,6.2,2.0,40.8,77.2,72.8,23.0,19.1,47.8,52.2,44.2,55.8,71.6,19.1,0.7,0.7,0.2,0.1,5.9,347518
CA01,2018,718214,50.4,49.6,5.2,5.5,5.8,6.0,6.9,12.3,10.9,11.7,7.1,7.7,12.5,6.0,2.4,42.3,80.1,76.1,25.7,20.9,50.0,50.0,46.2,53.8,76.3,1.8,1.7,2.8,0.2,0.1,14.0,330193
CA02,2018,717999,49.5,50.5,4.8,5.8,5.7,6.2,5.3,10.3,12.7,13.6,7.8,7.2,12.5,5.7,2.3,44.3,80.1,76.2,24.9,20.6,49.0,51.0,45.7,54.3,70.4,1.3,1.7,3.9,0.3,0.9,17.7,322256
CA03,2018,750271,50.3,49.7,6.2,6.6,6.8,7.5,8.5,14.3,12.0,11.8,6.2,6.1,8.4,4.1,1.5,35.2,76.6,70.8,17.1,14.0,50.0,50.0,46.7,53.3,46.6,5.9,0.8,11.4,0.5,0.2,30.3,272320
CA04,2018,748410,49.7,50.3,4.7,6.0,6.3,5.9,5.3,10.5,11.7,13.3,7.7,7.8,12.2,6.3,2.2,44.6,79.2,76.2,25.2,20.8,49.1,50.9,46.8,53.2,75.1,1.2,0.9,5.3,0.1,0.1,13.8,361353
CA05,2018,732438,48.6,51.4,5.2,5.9,5.7,6.0,6.3,14.1,12.4,12.8,6.8,7.4,10.5,4.8,2.1,40.2,79.6,76.0,21.7,17.4,47.9,52.1,44.1,55.9,48.5,5.9,0.5,11.1,0.5,0.8,29.2,287187
CA06,2018,764344,48.8,51.2,7.3,7.3,6.5,5.5,6.8,17.5,13.6,11.3,6.2,5.6,7.0,3.7,1.6,34.4,75.6,72.4,15.7,12.3,48.0,52.0,43.0,57.0,36.5,12.5,0.3,15.6,1.6,0.3,27.6,292317
CA07,2018,750860,48.9,51.1,5.8,6.3,6.4,6.8,6.0,14.1,12.8,14.2,6.2,6.3,9.2,4.2,1.9,38.7,77.0,73.5,19.1,15.3,48.1,51.9,43.0,57.0,52.3,6.3,0.3,15.3,0.9,0.2,18.3,275316
CA08,2018,721449,49.9,50.1,7.7,7.5,7.6,7.4,7.1,13.5,11.9,12.0,6.4,5.3,8.0,3.9,1.5,34.2,72.7,68.3,16.9,13.5,49.2,50.8,47.0,53.0,42.9,6.6,0.9,3.3,0.5,0.1,43.0,300582
CA09,2018,774266,49.3,50.7,6.9,7.6,7.8,7.6,6.5,13.5,12.8,12.6,6.2,6.0,7.5,3.5,1.4,35.0,72.8,68.8,15.8,12.4,48.9,51.1,43.3,56.7,33.9,8.6,0.2,14.0,0.5,0.3,38.1,252568
CA10,2018,758005,50.0,50.0,6.8,7.7,7.4,7.3,7.1,14.2,12.6,12.8,6.1,5.1,7.6,3.9,1.4,34.6,73.4,69.3,15.7,12.9,49.2,50.8,44.3,55.7,41.0,3.1,0.3,7.5,0.7,0.0,44.3,248676
CA11,2018,764135,48.7,51.3,6.0,6.1,6.4,5.9,6.1,13.2,13.4,13.8,6.9,5.9,9.6,4.8,2.1,39.7,77.9,74.4,19.7,16.4,48.1,51.9,43.5,56.5,44.9,7.4,0.1,14.0,0.3,0.4,27.7,285066
CA12,2018,774736,51.1,48.9,4.6,3.0,3.8,3.0,5.4,24.3,16.1,13.5,5.8,5.5,8.4,4.2,2.5,38.2,86.8,84.9,18.5,15.1,51.3,48.7,44.8,55.2,42.2,5.2,0.2,32.4,0.4,0.6,14.8,363178
CA13,2018,766731,48.4,51.6,5.9,4.9,5.4,5.7,7.0,17.8,14.9,12.0,6.1,5.9,9.1,3.6,1.6,36.8,81.0,76.7,17.9,14.3,48.0,52.0,43.0,57.0,34.3,16.2,0.3,20.5,0.7,0.6,22.3,303161
CA14,2018,756389,49.1,50.9,5.4,5.9,5.3,5.4,5.8,15.6,14.3,13.5,6.5,6.2,9.1,4.5,2.4,39.4,80.1,76.9,19.7,16.0,48.5,51.5,44.2,55.8,33.5,2.7,0.1,33.9,1.4,0.3,24.0,265781
CA15,2018,785387,49.9,50.1,5.8,6.8,6.6,5.8,5.1,14.7,15.2,14.9,6.5,5.8,7.4,3.7,1.7,38.5,76.9,73.8,16.1,12.8,48.9,51.1,45.6,54.4,31.7,5.5,0.3,34.8,0.8,0.1,22.5,267251
CA16,2018,729788,49.8,50.2,8.6,7.8,8.2,7.6,8.0,15.8,12.5,11.2,4.9,4.9,6.3,3.1,1.2,30.8,70.8,65.8,13.6,10.5,49.6,50.4,45.4,54.6,21.6,4.9,0.5,9.5,0.1,0.1,61.7,226110
CA17,2018,771078,50.9,49.1,6.2,5.6,5.5,5.5,5.4,18.8,15.1,14.3,5.9,5.1,6.8,4.0,1.8,36.8,79.2,76.2,15.5,12.6,50.7,49.3,42.6,57.4,22.2,3.0,0.2,55.2,0.4,0.2,15.0,270458
CA18,2018,742728,50.5,49.5,5.6,6.0,6.2,6.0,5.6,14.2,13.2,15.0,6.9,6.1,8.3,4.5,2.4,39.8,78.4,75.2,18.7,15.2,50.2,49.8,45.5,54.5,52.6,1.6,0.3,24.0,0.1,0.3,16.6,286266
CA19,2018,770105,50.1,49.9,6.2,6.1,7.4,6.0,7.0,14.5,14.8,13.3,6.4,5.7,7.4,3.7,1.4,36.7,76.6,73.0,15.7,12.5,49.9,50.1,44.9,55.1,25.5,2.3,0.2,28.7,0.4,0.3,39.6,239821
CA20,2018,744295,50.3,49.7,6.3,6.5,7.6,7.6,8.4,13.9,12.8,12.1,6.0,5.6,8.1,3.6,1.7,34.9,75.6,69.9,16.8,13.5,50.1,49.9,44.7,55.3,36.4,1.8,0.1,5.1,0.2,0.1,53.3,250973
CA21,2018,723549,52.9,47.1,8.0,8.4,8.7,8.2,7.8,16.5,13.3,11.3,5.0,4.3,5.2,2.5,0.9,30.0,69.8,65.1,11.1,8.5,53.9,46.1,48.2,51.8,15.7,3.4,0.2,3.5,0.0,0.3,75.4,207010
CA22,2018,760328,49.1,50.9,7.8,8.6,8.5,7.2,7.1,14.3,12.4,11.1,5.3,5.3,7.1,3.4,1.9,32.2,70.6,66.4,15.4,12.4,48.1,51.9,43.4,56.6,37.3,3.5,0.4,7.5,0.2,0.2,48.8,258846
CA23,2018,745328,51.2,48.8,7.2,7.5,7.4,7.4,6.5,14.6,12.6,12.3,6.3,5.3,7.8,3.5,1.4,34.5,73.0,69.0,15.8,12.6,51.0,49.0,45.0,55.0,46.1,5.5,0.8,5.2,0.2,0.1,39.1,269961
CA24,2018,740039,50.2,49.8,5.6,6.0,5.5,8.3,10.8,12.6,11.0,11.2,6.1,6.3,9.6,4.8,2.3,36.0,79.5,71.9,20.3,16.6,50.0,50.0,45.5,54.5,53.7,1.6,0.4,4.6,0.1,0.2,36.6,283456
CA25,2018,721740,50.4,49.6,7.5,7.0,7.2,7.4,6.7,13.5,11.9,14.7,7.0,5.5,6.8,3.5,1.3,35.8,73.8,69.7,14.8,11.6,49.6,50.4,45.7,54.3,40.4,7.1,0.7,8.7,0.2,0.2,39.7,229818
CA26,2018,732091,49.4,50.6,6.2,6.4,7.0,6.5,7.0,13.2,12.7,13.0,7.2,5.8,8.8,4.1,2.1,38.0,76.5,72.6,18.4,15.0,49.1,50.9,44.9,55.1,42.6,1.7,0.3,6.7,0.1,0.1,45.8,247105
CA27,2018,717980,48.8,51.2,5.3,4.6,5.3,6.2,5.7,14.4,13.2,14.6,6.5,6.7,9.1,5.6,2.9,41.2,81.1,77.5,21.5,17.6,47.6,52.4,45.2,54.8,24.8,4.0,0.3,40.1,0.3,0.3,27.8,262156
CA28,2018,719156,50.1,49.9,4.1,4.1,4.1,4.2,5.9,19.3,14.1,15.2,6.7,6.7,8.5,4.7,2.5,40.3,85.2,82.4,19.4,15.6,49.5,50.5,41.3,58.7,56.8,3.2,0.2,12.2,0.0,0.3,24.2,329410
CA29,2018,713745,49.8,50.2,6.2,6.3,6.3,6.5,7.5,16.7,14.7,12.9,6.6,5.1,6.8,3.0,1.4,35.3,77.2,73.3,14.2,11.2,49.8,50.2,42.4,57.6,19.7,3.6,0.1,7.1,0.0,0.3,68.1,223806
CA30,2018,771201,49.4,50.6,5.2,5.7,5.4,5.2,6.0,15.9,14.1,14.3,7.1,6.2,8.0,4.1,2.7,39.3,80.6,77.3,18.5,14.8,49.3,50.7,44.0,56.0,50.0,4.5,0.2,13.1,0.1,0.3,28.0,294339
CA31,2018,762208,48.9,51.1,7.3,7.5,7.0,6.8,8.0,16.5,12.6,12.4,6.6,5.0,6.2,2.8,1.3,33.0,73.9,69.6,13.1,10.4,48.3,51.7,41.8,58.2,25.0,10.5,0.3,7.8,0.1,0.1,53.5,243979
CA32,2018,725317,49.1,50.9,5.4,5.8,6.6,6.6,7.8,15.0,13.6,13.2,6.1,6.1,8.5,3.7,1.7,37.1,78.2,73.8,17.5,13.9,48.6,51.4,43.5,56.5,14.3,2.0,0.2,19.5,0.5,0.3,61.9,204861
CA33,2018,705588,47.9,52.1,4.8,4.7,5.6,6.7,5.8,13.9,13.0,14.1,7.5,6.1,9.9,5.0,2.9,41.2,81.4,76.7,20.9,17.8,47.3,52.7,44.0,56.0,63.8,3.1,0.1,14.7,0.2,0.5,13.3,326448
CA34,2018,763303,51.2,48.8,6.0,5.5,5.6,5.7,8.4,19.1,14.8,13.4,5.3,4.8,6.1,3.4,1.7,34.8,79.6,75.6,13.9,11.3,51.3,48.7,40.9,59.1,11.1,4.1,0.2,19.0,0.2,0.2,63.6,275827
CA35,2018,745237,51.0,49.0,6.7,6.7,8.0,7.9,8.6,15.6,14.1,12.7,5.0,5.0,6.0,2.8,1.0,32.6,73.8,69.0,12.7,9.7,50.8,49.2,44.7,55.3,14.0,6.1,0.2,7.6,0.3,0.4,69.7,204443
CA36,2018,737403,49.6,50.4,5.4,5.4,6.1,5.7,5.6,11.6,11.9,12.1,7.2,7.1,11.9,7.4,2.6,43.7,79.3,76.3,26.0,21.9,49.4,50.6,47.2,52.8,41.3,4.0,1.0,3.8,0.1,0.2,48.0,373348
CA37,2018,713530,48.1,51.9,4.9,5.0,5.3,5.8,8.5,19.5,14.0,12.8,6.0,5.5,7.3,3.4,1.9,35.5,81.5,77.2,15.8,12.6,47.6,52.4,40.6,59.4,24.5,22.9,0.1,9.9,0.1,0.7,39.3,298878
CA38,2018,718428,48.9,51.1,6.0,5.5,6.6,6.9,7.3,14.7,13.3,13.3,6.2,5.5,8.1,4.7,2.0,37.0,77.8,73.4,18.2,14.8,48.6,51.4,44.5,55.5,17.3,3.8,0.4,15.4,0.3,0.5,60.3,212868
CA39,2018,736480,50.1,49.9,6.2,5.8,6.3,6.6,6.6,13.6,13.2,13.5,7.2,6.3,8.9,4.0,1.8,38.4,77.7,73.9,18.4,14.7,49.3,50.7,46.6,53.4,28.4,2.2,0.1,31.3,0.3,0.1,35.4,237021
CA40,2018,738618,50.1,49.9,7.8,8.1,8.5,7.5,8.1,16.6,12.9,12.6,5.2,4.3,5.0,2.2,1.2,30.6,70.9,66.5,10.8,8.4,49.0,51.0,42.9,57.1,3.8,5.0,0.2,2.1,0.3,0.1,88.1,190279
CA41,2018,765770,50.1,49.9,7.0,7.2,7.9,8.5,8.8,17.0,12.7,12.6,4.8,4.2,5.6,2.7,0.9,30.7,73.4,67.4,11.5,9.2,49.9,50.1,45.2,54.8,20.2,8.7,0.2,5.8,0.2,0.4,62.8,197450
CA42,2018,826899,49.5,50.5,7.2,7.7,8.3,7.7,6.7,13.1,13.5,12.9,6.1,5.0,6.8,3.5,1.4,34.6,71.8,67.8,14.6,11.8,48.9,51.1,43.2,56.8,41.5,5.9,0.2,9.2,0.3,0.4,39.3,240655
CA43,2018,745656,48.1,51.9,7.5,6.6,6.2,6.2,6.1,16.2,13.7,13.3,5.8,5.2,7.7,4.0,1.5,36.1,76.2,72.2,16.4,13.2,47.4,52.6,41.6,58.4,13.4,22.7,0.2,13.4,0.5,0.2,47.4,258334
CA44,2018,717097,48.5,51.5,7.4,7.4,8.2,7.1,8.2,15.3,13.3,12.1,5.4,5.1,6.0,2.9,1.3,32.3,72.4,68.1,13.1,10.2,48.0,52.0,42.3,57.7,6.5,14.0,0.2,5.8,0.3,0.2,71.6,194863
CA45,2018,777871,48.3,51.7,5.5,5.7,6.6,6.4,6.5,14.0,13.6,14.4,7.0,6.1,8.0,4.1,2.0,38.8,78.4,74.2,17.9,14.2,47.8,52.2,44.1,55.9,50.1,1.9,0.3,25.4,0.1,0.1,18.2,289849
CA46,2018,734649,50.5,49.5,6.6,6.7,7.0,7.2,8.9,17.5,13.7,12.8,5.8,4.3,5.5,2.8,1.1,32.4,75.7,71.0,11.9,9.5,50.2,49.8,42.1,57.9,17.2,1.7,0.1,12.9,0.3,0.1,66.6,196441
CA47,2018,723526,48.7,51.3,5.7,5.5,6.3,6.4,7.4,15.3,13.4,14.1,6.3,6.2,7.9,3.6,1.9,37.5,78.8,74.5,16.9,13.4,48.0,52.0,44.7,55.3,31.4,6.9,0.3,23.6,0.4,0.1,34.9,258080
CA48,2018,721632,48.9,51.1,5.6,5.0,6.0,5.6,5.3,13.5,11.8,15.4,7.2,6.2,10.3,5.5,2.6,42.9,79.9,76.9,22.1,18.4,48.6,51.4,45.5,54.5,55.8,1.0,0.2,18.0,0.3,0.3,20.7,290706
CA49,2018,747350,51.1,48.9,6.1,6.2,6.4,7.0,6.9,11.8,12.4,14.5,6.8,5.9,9.2,4.6,2.1,39.5,77.5,73.2,19.4,16.0,50.3,49.7,42.8,57.2,57.9,2.4,0.2,7.9,0.2,0.1,28.2,285539
CA50,2018,754388,49.5,50.5,7.0,6.0,7.0,6.3,6.3,14.1,12.8,13.4,6.4,6.0,8.6,4.0,2.0,37.3,75.9,72.6,17.8,14.6,49.1,50.9,45.2,54.8,55.0,2.2,0.8,4.9,0.2,0.1,33.6,257924
CA51,2018,746496,51.3,48.7,7.1,6.7,7.7,6.9,8.8,16.6,12.8,11.5,5.6,4.7,6.7,3.3,1.6,32.5,74.4,69.7,14.4,11.6,51.3,48.7,45.0,55.0,12.8,6.7,0.4,7.1,0.4,0.1,70.9,230777
CA52,2018,768240,50.3,49.7,5.4,5.1,5.6,5.5,7.8,18.6,13.5,12.9,6.3,5.4,8.1,3.8,1.7,36.2,80.7,76.8,17.0,13.7,50.4,49.6,44.1,55.9,57.3,2.6,0.4,20.1,0.5,0.5,14.6,309435
CA53,2018,774182,49.1,50.9,6.4,5.5,5.4,5.9,7.6,18.8,14.4,11.3,6.3,5.7,7.3,3.6,1.8,35.2,79.7,75.0,16.2,12.7,48.9,51.1,44.1,55.9,40.5,7.6,0.1,14.3,0.4,0.3,32.0,292525
CO01,2018,826995,50.2,49.8,6.2,5.6,5.2,5.0,5.9,21.7,15.6,11.9,5.7,5.2,7.3,3.2,1.5,35.2,80.0,77.0,15.1,12.0,49.9,50.1,44.2,55.8,58.5,7.8,0.5,3.4,0.1,0.1,27.5,373376
CO02,2018,799734,50.5,49.5,4.6,5.2,5.7,6.9,9.7,14.0,11.8,12.9,6.8,7.1,9.8,3.8,1.6,38.1,81.1,75.4,19.3,15.2,50.3,49.7,47.2,52.8,82.5,1.0,0.4,3.1,0.1,0.1,10.7,381482
CO03,2018,749478,50.1,49.9,5.5,5.9,6.6,6.6,5.8,12.8,12.4,12.2,7.4,7.0,11.0,5.0,1.7,40.3,78.3,74.2,22.0,17.7,49.8,50.2,47.6,52.4,70.9,0.6,1.4,0.8,0.1,0.2,24.4,371093
CO04,2018,817251,50.6,49.4,6.4,7.0,7.6,7.3,5.6,13.2,13.7,13.7,6.5,5.9,8.2,3.6,1.4,37.1,74.5,70.6,16.5,13.1,50.4,49.6,46.4,53.6,71.7,1.2,0.4,2.2,0.1,0.3,22.1,318045
CO05,2018,799622,51.1,48.9,6.3,6.3,6.9,6.6,7.5,15.4,12.9,12.2,6.4,6.0,8.4,3.6,1.5,35.6,76.5,72.5,17.0,13.5,51.0,49.0,45.5,54.5,70.7,5.4,0.6,2.3,0.3,0.3,16.4,326449
CO06,2018,814636,49.8,50.2,6.1,6.9,7.8,6.3,5.9,14.7,14.6,13.7,6.5,5.6,7.7,3.0,1.3,36.5,75.1,71.6,15.3,12.0,49.1,50.9,44.2,55.8,60.4,9.2,0.3,6.5,0.2,0.3,20.2,303826
CO07,2018,799438,49.9,50.1,6.3,6.3,6.3,6.4,6.4,16.3,14.1,12.6,6.7,5.3,7.9,3.9,1.5,36.1,77.0,73.4,16.5,13.4,49.6,50.4,43.6,56.4,62.9,1.8,0.5,3.4,0.0,0.2,29.4,311224
CT01,2018,710509,48.5,51.5,5.1,5.5,6.7,6.6,6.7,12.6,11.9,13.5,7.1,7.0,9.8,4.9,2.7,40.6,78.8,74.6,21.7,17.4,47.4,52.6,42.3,57.7,60.4,14.6,0.2,5.3,0.0,0.3,17.1,307367
CT02,2018,705217,49.8,50.2,4.3,4.6,5.8,7.4,8.1,11.7,10.7,15.0,7.9,6.8,10.1,5.2,2.3,42.6,81.4,76.1,21.8,17.7,49.4,50.6,45.2,54.8,81.5,3.5,0.4,3.3,0.0,0.2,8.5,308487
